city_ID_i,pop_i,unemp_i,pcinc_i,div_i,dem_i,lat_i,longt_i,cm_i,mc_i,co_i
101852,23106,0.148647329,20811,0.534088865,0.305990544,33.67344,-85.810918,1,0,0
121184,65496,0.069258252,24306,0.495560058,0.272564031,31.233698,-85.406823,1,0,0
151000,205764,0.082948617,24409,0.538714062,0.520877691,32.346251,-86.268593,0,1,0
178552,34033,0.035011824,50017,0.179971351,0.616715406,33.462496,-86.739508,0,1,0
404720,76238,0.08493816,21331,0.579010655,0.363680978,33.313041,-112.329077,1,0,0
406260,5575,0.083847102,21689,0.274969889,0.363680978,31.398036,-109.931834,1,0,0
408220,39540,0.135635579,20768,0.309317215,0.553789117,35.129773,-114.561149,1,0,0
422220,31797,0.066542086,15973,0.539222599,0.442930931,33.590224,-112.327102,1,0,0
422360,16631,0.147184098,9979,0.686127639,0.442930931,32.743112,-111.59848,1,0,0
423620,65870,0.06427552,22959,0.434845115,0.442930931,35.185217,-111.620726,1,0,0
423760,25536,0.081468732,8577,0.550914585,0.442930931,33.051517,-111.412785,1,0,0
427050,1922,0.110497238,12203,0.555973822,0.442930931,32.948625,-112.70553,0,1,0
427820,226721,0.093667558,23373,0.492885573,0.442930931,33.533111,-112.189901,1,0,0
444270,34961,0.069654392,30802,0.315159203,0.442930931,32.465396,-111.139016,1,0,0
444410,43482,0.047944083,26609,0.476554762,0.442930931,33.045487,-112.015485,1,0,0
446000,439041,0.068985279,24647,0.381271531,0.442930931,33.401926,-111.717379,1,0,0
449640,20837,0.120431173,14572,0.415130217,0.442930931,31.362463,-110.933538,0,1,0
451600,41011,0.062987542,38643,0.189908684,0.248673035,32.422094,-110.976235,1,0,0
454050,154065,0.062671315,29279,0.312270361,0.431168196,33.787708,-112.3111,1,0,0
455000,1445632,0.074342341,24460,0.511705304,0.529658549,33.572162,-112.087966,1,0,0
457450,38822,0.07583047,21016,0.216772141,0.529658549,34.579376,-112.448176,1,0,0
458150,26361,0.066963871,26507,0.28998452,0.529658549,33.241183,-111.640283,1,0,0
465350,10031,0.04965358,44240,0.183424187,0.38936938,34.857323,-111.794933,1,0,0
467800,5590,0.02977062,16229,0.273641725,0.38936938,34.518972,-110.089988,1,0,0
471300,2837,0.049295775,19672,0.433406734,0.38936938,33.285146,-111.1103,0,1,0
471510,117517,0.073873103,25884,0.334865315,0.38936938,33.670612,-112.452674,1,0,0
477000,520116,0.085881005,20243,0.471761094,0.697057104,32.154289,-110.871062,1,0,0
482740,6363,0.080680977,28128,0.176073075,0.324594158,33.970393,-112.752672,1,0,0
483090,3757,0.091472868,20595,0.457974039,0.324594158,32.251646,-109.835734,1,0,0
485540,93064,0.09101371,20472,0.466832736,0.4473078,32.516261,-114.521811,1,0,0
524550,86209,0.057218028,22008,0.487712682,0.320317335,35.349276,-94.370883,1,0,0
