city_ID_j,pop_j,unemp_j,pcinc_j,div_j,dem_i,lat_j,longt_j,cm_j,mc_j,co_j
3702080,39387,0.030352377,12654,0.157461859,0.44745,35.717337,-79.814309,1,0,0
3702140,89319,0.047684804,13331,0.260274658,0.33915,35.570977,-82.552738,1,0,0
3705460,3078,0.063210227,9391,0.499733785,0.33915,35.807216,-77.376146,1,0,0
3709060,45011,0.03452623,14230,0.351317924,0.3336,36.082561,-79.459748,1,0,0
3710740,55575,0.024980852,20261,0.190066101,0.4389,35.782122,-78.814079,1,0,0
3711800,41059,0.043192925,16768,0.290269036,0.58015,35.925942,-79.038271,1,0,0
3712000,446892,0.039858847,16776,0.448236067,0.58015,35.208707,-80.830739,1,0,0
3714100,45639,0.033431227,14216,0.271904369,0.48115,35.392048,-80.635543,1,0,0
3719000,177364,0.042188342,15021,0.500419885,0.48115,35.980964,-78.905647,1,0,0
3720620,6195,0.038639366,13183,0.112885225,0.59015,36.262768,-80.846535,1,0,0
3722920,207403,0.089673878,11477,0.525924526,0.41845,35.08511,-78.980263,1,0,0
3725480,24405,0.023771237,15584,0.32006661,0.46095,35.694611,-78.622749,1,0,0
3731060,41505,0.033545595,15457,0.242663417,0.41455,35.741466,-81.32377,1,0,0
3731400,80406,0.048804507,13870,0.410681485,0.45545,35.98547,-79.990243,1,0,0
3733120,10893,0.034533794,15097,0.227425295,0.45545,35.404463,-80.876971,1,0,0
3734200,86395,0.100924037,11422,0.462838796,0.37795,34.736866,-77.392666,1,0,0
3735200,40827,0.050130548,11820,0.267148572,0.40305,35.47658,-80.6386,1,0,0
3736640,3060,0.058917197,10887,0.493184347,0.34595,34.320055,-78.5206,1,0,0
3738040,11986,0.026613733,19631,0.070366988,0.34595,36.105272,-80.424062,1,0,0
3743920,23934,0.04484054,12407,0.414578541,0.60885,35.00159,-80.561279,1,0,0
3744520,1733,0.03030303,19045,0.237145615,0.456,35.834444,-78.840821,1,0,0
3755000,249237,0.036941371,17306,0.418309603,0.28855,35.830204,-78.641439,1,0,0
3757500,63702,0.052547231,12106,0.502089823,0.28855,35.968508,-77.808283,1,0,0
3759280,32744,0.060168026,12131,0.407828773,0.38265,35.483463,-79.177659,1,0,0
3761200,32184,0.055538895,12344,0.404828233,0.3434,35.287902,-81.541127,1,0,0
3764180,23368,0.142185443,8620,0.564099978,0.44385,35.184571,-78.994692,1,0,0
3766360,4145,0.09701897,11071,0.110746056,0.44385,34.693159,-77.13363,1,0,0
3770540,9691,0.051305627,14148,0.313652459,0.44385,35.988697,-78.536658,1,0,0
3773660,9260,0.085813492,10035,0.46482972,0.44385,34.330295,-78.701433,1,0,0
3774440,77472,0.055667304,13361,0.389090497,0.44385,34.209225,-77.885767,1,0,0
3774540,45936,0.073616645,12186,0.491141348,0.44825,35.734588,-77.931495,1,0,0
3832060,51034,0.051929001,11983,0.085066236,0.39585,47.912789,-97.07501,0,1,0
3902092,1295,0.061538462,11882,0.009237787,0.4687,40.39677,-84.176,0,1,0
3912168,7476,0.062169312,11567,0.012525441,0.32985,39.580727,-84.319641,1,0,0
3915000,369268,0.077757292,12631,0.486253357,0.32985,39.139902,-84.506446,1,0,0
3915644,17796,0.042700285,18837,0.101357316,0.30305,39.869541,-84.325438,0,1,0
3918350,15446,0.099109792,10461,0.020570592,0.4393,41.927299,-80.568382,1,0,0
3921000,201538,0.102978236,10097,0.491462981,0.4393,39.777394,-84.199632,1,0,0
3922694,19775,0.017938931,28823,0.119850516,0.4393,40.111304,-83.144314,1,0,0
3925914,33961,0.063343973,13646,0.130314059,0.41075,39.795267,-84.011271,1,0,0
3929204,6211,0.088405797,11091,0.091507871,0.37225,38.820155,-82.190916,1,0,0
3933012,73076,0.071402845,11613,0.13206038,0.3996,39.394328,-84.565522,1,0,0
3939872,35480,0.067397114,10061,0.161111518,0.3996,41.149143,-81.361122,1,0,0
3945094,13822,0.051437654,12879,0.005773997,0.3996,40.836576,-81.264536,1,0,0
3945108,14330,0.033211827,17199,0.04540356,0.3401,39.267517,-84.274553,1,0,0
3949434,27840,0.039814815,14975,0.040033749,0.45635,39.630938,-84.270742,1,0,0
3950176,10853,0.033920059,15302,0.065839838,0.45635,39.170811,-84.281874,1,0,0
3954852,5928,0.040866224,13115,0.015108085,0.45635,39.744042,-84.394249,1,0,0
3967468,27979,0.062206666,11658,0.153213054,0.45635,39.782613,-84.124345,1,0,0
